STORECODE|STORENAME|BRAND|ZONE|REGION|DISTRICT|STORETYPE|STORESTATUS|MGRSNAME|MGRNAME|CITY|STATE|LATITUDE|LONGITUDE
TMW_3327|#3327The Palms at Town & Country|TMW|TMW_S|TMW_S2|TMW_S204|Brick & Mortar|Open|AEP9|Alfonso Eduardo Prado|Miami|FL|25.686871|-80.386786
TMW_3325|#3325Downtown Dadeland|TMW|TMW_S|TMW_S2|TMW_S204|Brick & Mortar|Open|MSV9|Mauricio Segundo Villalva|Miami|FL|25.68748|-80.312559
TMW_3333|#3333 Miami, Fl|TMW|TMW_S|TMW_S2|TMW_S204|Brick & Mortar|Open|---|---|Sweetwater|FL|25.789029|-80.369159
TMW_3346|#3346Shops At Midtown Miami|TMW|TMW_S|TMW_S2|TMW_S204|Brick & Mortar|Open|---|---|Miami|FL|25.806942|-80.194296
TMW_3323|#3323Aventura Commons|TMW|TMW_S|TMW_S2|TMW_S204|Brick & Mortar|Open|AAS34|Avraham Avi Shalom|Aventura|FL|25.9705|-80.1417
TMW_3331|#3331Pembroke Crossing|TMW|TMW_S|TMW_S2|TMW_S204|Brick & Mortar|Open|SG11|LaShawn Gibbs|Pembroke Pines|FL|26.007076|-80.311064
TMW_3326|#3326Shops At Broward|TMW|TMW_S|TMW_S2|TMW_S204|Brick & Mortar|Open|---|---|Plantation|FL|26.120141|-80.257473
TMW_3330|#3330Bal Harbour Square|TMW|TMW_S|TMW_S2|TMW_S204|Brick & Mortar|Open|HN9|Sam Nassour|Ft Lauderdale|FL|26.149328|-80.119079
TMW_1229|#1229Paseo Plaza|TMW|TMW_S|TMW_S5|TMW_S505|Brick & Mortar|Open|BLS2|Bobby Lewisa Salazar|Mcallen|TX|26.188234|-98.233222
KNG_0111|#0111 Margate|KNG|KNG_R01|KNG_R01|KNG_R01_A|Brick & Mortar|Open|SM535|Stanley Malebranche|Margate|FL|26.236487|-80.197314
TMW_3321|#3321Ramblewood Square|TMW|TMW_S|TMW_S2|TMW_S202|Brick & Mortar|Open|ES68|Eric Starler|Coral Springs|FL|26.244647|-80.252654
TMW_3335|#3335Granada Shoppes|TMW|TMW_S|TMW_S2|TMW_S204|Brick & Mortar|Open|GC95|Garrett Carbeau|Naples|FL|26.271089|-81.798693
TMW_3329|#3329Somerset Shoppes|TMW|TMW_S|TMW_S2|TMW_S202|Brick & Mortar|Open|AP226|Allan Patricio Pacheco|Boca Raton|FL|26.368775|-80.183538
TMW_3332|#3332Boynton Town Center|TMW|TMW_S|TMW_S2|TMW_S202|Brick & Mortar|Open|AP38|Alienta Pierre-Louis|Boynton Beach|FL|26.534754|-80.090123
JAB_0667|#0667Boynton Town Center|JAB|JAB_S|JAB_S2|JAB_S202|Brick & Mortar|Open|MDT13|Marcos DaSilva Trindade|Boynton Beach|FL|26.535063|-80.08997
TMW_3317|#3317Page Field Commons|TMW|TMW_S|TMW_S2|TMW_S204|Brick & Mortar|Open|BJS26|Bruce John Sovich|Fort Myers|FL|26.5873|-81.871512
TMW_3336|#3336Plaza at Wellington Green|TMW|TMW_S|TMW_S2|TMW_S202|Brick & Mortar|Open|WR50|Walter Ryan|Wellington|FL|26.645833|-80.204667
KNG_0112|#0112West Palm Beach|KNG|KNG_R01|KNG_R01|KNG_R01_A|Brick & Mortar|Open|TS317|Theresa Schafer|West Palm Beach|FL|26.722255|-80.088928
TMW_3324|#3324Legacy Place|TMW|TMW_S|TMW_S2|TMW_S202|Brick & Mortar|Open|JMR15|Joe M Rosado|Palm Beach Gardens|FL|26.84252|-80.090757
JAB_0597|#0597Legacy Place|JAB|JAB_S|JAB_S2|JAB_S202|Brick & Mortar|Open|JAM238|Joe Alan Martinez|Palm Beach Gardens|FL|26.843677|-80.090441
TMW_3334|#3334 Jensen Beach, Fl|TMW|TMW_S|TMW_S2|TMW_S202|Brick & Mortar|Open|SP191|Shawna Patterson|Stuart|FL|27.238681|-80.270267
TMW_3313|#3313 Sarasota, Fl|TMW|TMW_S|TMW_S2|TMW_S205|Brick & Mortar|Open|CAH81|Cody Alan Heath|Sarasota|FL|27.319818|-82.529324
TMW_3348|#3348University Town Center|TMW|TMW_S|TMW_S2|TMW_S205|Brick & Mortar|Open|AD166|Angel Darmau|Sarasota|FL|27.3844|-82.4569
TMW_1227|#1227Moore Plaza|TMW|TMW_S|TMW_S5|TMW_S505|Brick & Mortar|Open|CMM3|Christopher Michael Martinez|Corpus Christi|TX|27.70887|-97.374083
TMW_3309|#3309 St. Petersburg, Fl|TMW|TMW_S|TMW_S2|TMW_S205|Brick & Mortar|Open|JCM75|John Charles Mcmanus|St Petersburg|FL|27.794597|-82.730202
TMW_3306|#3306Plaza at Brandon Town Ctr|TMW|TMW_S|TMW_S2|TMW_S205|Brick & Mortar|Open|ESM3|Eric Shan McCartney|Brandon|FL|27.938254|-82.323514
JAB_0362|#0362Town Square Center|JAB|JAB_S|JAB_S2|JAB_S205|Brick & Mortar|Open|JLD50|Jerelyn Lynette Driver|Tampa|FL|27.943203|-82.52349
TMW_3304|#3304 North Dale Mabry|TMW|TMW_S|TMW_S2|TMW_S205|Brick & Mortar|Open|---|---|Tampa|FL|27.951944|-82.506028
TMW_3303|#3303Clearwater Mall|TMW|TMW_S|TMW_S2|TMW_S205|Brick & Mortar|Open|AF60|Ana Maria Glenn|Clearwater|FL|27.960073|-82.725014
JAB_0577|#0577Lakeside Village|JAB|JAB_S|JAB_S2|JAB_S201|Brick & Mortar|Open|EH156|Emily Huggins|Lakeland|FL|28.000306|-81.978978
KNG_0105|#0105University Mall|KNG|KNG_R01|KNG_R01|KNG_R01_A|Brick & Mortar|Open|DEW17|Donna Elizabeth Williams|Tampa|FL|28.056555|-82.432537
TMW_3319|#3319Citrus Park Drive|TMW|TMW_S|TMW_S2|TMW_S205|Brick & Mortar|Open|JMH26|Jamal Mohmoud Hussein|Tampa|FL|28.066614|-82.571357
TMW_3315|#3315 Melbourne, Fl|TMW|TMW_S|TMW_S2|TMW_S202|Brick & Mortar|Open|CJM100|Cassidy Jordyn Mansfield|Melbourne|FL|28.078363|-80.64974
TMW_3340|#3340Shoppes At Lakeland|TMW|TMW_S|TMW_S2|TMW_S201|Brick & Mortar|Open|KEG21|Keri Elizabeth Giordano|Lakeland|FL|28.092871|-81.972568
TMW_3312|#3312Cypress Creek Town Ctr|TMW|TMW_S|TMW_S2|TMW_S205|Brick & Mortar|Open|NRD2|Nathaniel R Dixon|Lutz|FL|28.1951|-82.3921
TMW_3338|#3338 Viera, Fl|TMW|TMW_S|TMW_S2|TMW_S202|Brick & Mortar|Open|SDM53|Samone Derisse Mitchell Archer|Viera|FL|28.241404|-80.728989
TMW_3341|#3341 Kissimmee, Fl|TMW|TMW_S|TMW_S2|TMW_S201|Brick & Mortar|Open|KAV11|Kevin A Vieira|Kissimmee|FL|28.347635|-81.419025
TMW_3310|#3310Shoppes At Millenia|TMW|TMW_S|TMW_S2|TMW_S201|Brick & Mortar|Open|SSM60|Sharece Shantel Moment|Orlando|FL|28.488755|-81.430121
KNG_0101|#0101 Orlando|KNG|KNG_R01|KNG_R01|KNG_R01_A|Brick & Mortar|Open|SK177|Sylvester King|Orlando|FL|28.5119|-81.3727
TMW_3314|#3314Winter Garden Village|TMW|TMW_S|TMW_S2|TMW_S201|Brick & Mortar|Open|RGM5|Randall G Menges|Winter Garden|FL|28.523434|-81.584333
TMW_3302|#3302Colonial Plaza Marketplace|TMW|TMW_S|TMW_S2|TMW_S201|Brick & Mortar|Open|SW319|Satoria Walker|Orlando|FL|28.551517|-81.350041
KNG_0102|#0102Highland Lakes Plaza|KNG|KNG_R01|KNG_R01|KNG_R01_A|Brick & Mortar|Open|CJW7|Crystal J Wilson|Orlando|FL|28.554402|-81.480158
TMW_3337|#3337 Orlando, Fl|TMW|TMW_S|TMW_S2|TMW_S201|Brick & Mortar|Open|RGD2|Geoff Geoffrey Davis|Orlando|FL|28.556895|-81.207742
JAB_0421|#0421Winter Park Village Shopping Center|JAB|JAB_S|JAB_S2|JAB_S201|Brick & Mortar|Open|CS264|Clemente Santana|Winter Park|FL|28.60323|-81.36329
TMW_3301|#3301Town Square|TMW|TMW_S|TMW_S2|TMW_S201|Brick & Mortar|Open|KN62|Katrina Studstill Norman|Altamonte Springs|FL|28.663215|-81.376988
TMW_1207|#1207 Market Heights|TMW|TMW_S|TMW_S5|TMW_S501|Brick & Mortar|Open|SS792|Stephanie Samaniego|Harker Heights|TX|28.8693|-96.9946
TMW_3318|#3318 Daytona Beach, Fl|TMW|TMW_S|TMW_S2|TMW_S201|Brick & Mortar|Open|FND2|Frederick Niles Denny|Daytona Beach|FL|29.180196|-81.082579
TMW_1211|#1211 San Antonio, Tx|TMW|TMW_S|TMW_S5|TMW_S505|Brick & Mortar|Open|AN36|Anthony Nelson|San Antonio|TX|29.490797|-98.707559
JAB_0452|#0452Alamo Quarry Market|JAB|JAB_S|JAB_S5|JAB_S505|Brick & Mortar|Open|ACJ15|Adrian Cesar Jimenez|San Antonio|TX|29.496334|-98.4821
TMW_1225|#1225La Plaza Del Norte|TMW|TMW_S|TMW_S5|TMW_S505|Brick & Mortar|Open|NPM6|Patricia Patricia Martinez|San Antonio|TX|29.521032|-98.49553
KNG_0305|#0305 San Antonio|KNG|KNG_R02|KNG_R02|KNG_R02_A|Brick & Mortar|Open|CAY5|Cynthia Ann Ybanez|San Antonio|TX|29.52228|-98.492022
JAB_0317|#0317Baybrook Village Shopping Center|JAB|JAB_S|JAB_S5|JAB_S503|Brick & Mortar|Open|BR86|Brenda Ann Ray|Webster|TX|29.538195|-95.147182
TMW_1117|#1117Baybrook Mall|TMW|TMW_S|TMW_S5|TMW_S503|Brick & Mortar|Open|KMS5|Kimberly Marie Severson|Friendswood|TX|29.543089|-95.145424
JAB_0973|#0973Huebner Oaks Center|JAB|JAB_S|JAB_S5|JAB_S505|Brick & Mortar|Open|PIM6|Patrick Irvine Mullins|San Antonio|TX|29.547672|-98.582008
TMW_1224|#1224Huebner Oaks Center|TMW|TMW_S|TMW_S5|TMW_S505|Brick & Mortar|Open|JRG9|James Russell Gengler Jr|San Antonio|TX|29.550528|-98.584122
TMW_1125|#1125 Pearland, Tx|TMW|TMW_S|TMW_S5|TMW_S503|Brick & Mortar|Open|GR162|Lupe Regalado|Pearland|TX|29.556921|-95.390492
TMW_1218|#1218 Selma, Tx|TMW|TMW_S|TMW_S5|TMW_S505|Brick & Mortar|Open|---|---|Selma|TX|29.570667|-98.328776
TMW_1121|#1121Sugarland Town Center|TMW|TMW_S|TMW_S5|TMW_S506|Brick & Mortar|Open|TCW7|Tiffany Charlesse Wren|Sugar Land|TX|29.594748|-95.62039
JAB_0504|#0504Sugar Land Town Square|JAB|JAB_S|JAB_S5|JAB_S506|Brick & Mortar|Open|AMA18|Althea M Appleton|Sugar Land|TX|29.594957|-95.623117
TMW_1214|#1214Legacy Shopping Center|TMW|TMW_S|TMW_S5|TMW_S505|Brick & Mortar|Open|AJB47|Aaron James Bacarro|San Antonio|TX|29.608785|-98.46316
TMW_1410|#1410Houma Crossing|TMW|TMW_S|TMW_S4|TMW_S403|Brick & Mortar|Open|HEP3|Harley Elizabeth Pontiff|Houma|LA|29.6171|-90.7589
TMW_1103|#1103 Pasadena, Tx|TMW|TMW_S|TMW_S5|TMW_S503|Brick & Mortar|Open|KAF29|Kyle Alexander Finney|Pasadena|TX|29.647062|-95.155411
TMW_3320|#3320 Gainsville, Fl|TMW|TMW_S|TMW_S2|TMW_S203|Brick & Mortar|Open|JOS15|Jeremy Owen Smith|Gainesville|FL|29.658583|-82.416465
KNG_0036|#0036Meyerland|KNG|KNG_R02|KNG_R02|KNG_R02_A|Brick & Mortar|Open|JW334|Joyce Wolfe|Houston|TX|29.686327|-95.456748
JAB_0873|#0873Rice Village|JAB|JAB_S|JAB_S5|JAB_S503|Brick & Mortar|Open|ERR12|Rucker R Rucker|Houston|TX|29.714875|-95.418207
TMW_1269|#1269Creekside Town Center|TMW|TMW_S|TMW_S5|TMW_S505|Brick & Mortar|Open|SJU2|Sergio Javier Urbina|New Braunfels|TX|29.728462|-98.071843
TMW_1101|#1101Briarcroft Shopping Center|TMW|TMW_S|TMW_S5|TMW_S503|Brick & Mortar|Open|TMT30|Tammeka Meria Thompson|Houston|TX|29.738377|-95.474609
JAB_0652|#0652LaCenterra at Cinco Ranch|JAB|JAB_S|JAB_S5|JAB_S506|Brick & Mortar|Open|MS755|Michelle Sebastia Delgado|Katy|TX|29.742978|-95.776318
TMW_1120|#1120River Oaks Shopping Center|TMW|TMW_S|TMW_S5|TMW_S503|Brick & Mortar|Open|AL23|Freddy Labrado|Houston|TX|29.752819|-95.406241
JAB_0027|#0027River Oaks Shopping Center|JAB|JAB_S|JAB_S5|JAB_S503|Brick & Mortar|Open|NJJ4|Natasha Jacqui Seraphin|Houston|TX|29.753336|-95.407739
JAB_0761|#0761Town And Country Village|JAB|JAB_S|JAB_S5|JAB_S503|Brick & Mortar|Open|CC420|Cheneria Chevalier|Houston|TX|29.776476|-95.561873
TMW_1105|#1105Westgate Marketplace Shopping Center|TMW|TMW_S|TMW_S5|TMW_S506|Brick & Mortar|Open|NIS6|Nahshon Israel Spencer|Houston|TX|29.786075|-95.717248
KNG_0319|#0319 Katy|KNG|KNG_R02|KNG_R02|KNG_R02_A|Brick & Mortar|Open|JJT38|Jackie J Tillman|Katy|TX|29.787312|-95.723213
KNG_0316|#0316Manhattan Place|KNG|KNG_R08|KNG_R08|KNG_R08_A|Brick & Mortar|Open|LHJ4|Laura Hayes Johnson|Harvey|LA|29.889836|-90.055332
TMW_1402|#1402 Harvey, La|TMW|TMW_S|TMW_S4|TMW_S403|Brick & Mortar|Open|TMS50|Tia Mia Stewart|Harvey|LA|29.903859|-90.068986
TMW_1115|#1115Willowbrook Commons|TMW|TMW_S|TMW_S5|TMW_S506|Brick & Mortar|Open|MER2|Mo Eunell Ricard-Harvey|Houston|TX|29.963916|-95.544432
JAB_0315|#0315Champions Plaza|JAB|JAB_S|JAB_S5|JAB_S506|Brick & Mortar|Open|RB252|Rachelle J Bell|Houston|TX|29.981262|-95.513833
KNG_0303|#0303Houston 1960|KNG|KNG_R02|KNG_R02|KNG_R02_A|Brick & Mortar|Open|JOB3|James O Brown|Houston|TX|29.986541|-95.496958
KNG_0304|#0304 Metairie|KNG|KNG_R08|KNG_R08|KNG_R08_A|Brick & Mortar|Open|CMR15|Chanell M Ray Creecy|Metairie|LA|29.998028|-90.180467
TMW_1106|#1106Deerbrook Mall|TMW|TMW_S|TMW_S5|TMW_S503|Brick & Mortar|Open|WC2|Winnie Celestie|Humble|TX|30.006382|-95.26859
TMW_1401|#1401 Causeway|TMW|TMW_S|TMW_S4|TMW_S403|Brick & Mortar|Open|TD149|Tyjae Dowl|Metairie|LA|30.006577|-90.154719
JAB_0446|#0446Kingwood Commons|JAB|JAB_S|JAB_S5|JAB_S503|Brick & Mortar|Open|ARH54|Ashley Rhea Horne|Kingwood|TX|30.049459|-95.244639
TMW_1128|#1128Grand Parkway Marketplace|TMW|TMW_S|TMW_S5|TMW_S506|Brick & Mortar|Open|CH223|Corbin Holly|Spring|TX|30.089547|-95.519878
TMW_1110|#1110 Beaumont, Tx|TMW|TMW_S|TMW_S4|TMW_S403|Brick & Mortar|Open|LS275|London Renee Singleton|Beaumont|TX|30.1182|-94.167607
TMW_1213|#1213Southpark Meadows|TMW|TMW_S|TMW_S5|TMW_S501|Brick & Mortar|Open|LYS1|Lisa Yvonne Salinas|Austin|TX|30.158607|-97.791025
JAB_0075|#0075Woodlands Mall|JAB|JAB_S|JAB_S5|JAB_S506|Brick & Mortar|Open|AMG89|Ana Maria Coats|The Woodlands|TX|30.16421|-95.453834
TMW_1404|#1404Acadiana Mall|TMW|TMW_S|TMW_S4|TMW_S403|Brick & Mortar|Open|DJ174|Daneechi Johnson|Lafayette|LA|30.171222|-92.076879
TMW_1123|#1123Portofino Center|TMW|TMW_S|TMW_S5|TMW_S506|Brick & Mortar|Open|SVM1|Steven V McCollister|Shenandoah|TX|30.181295|-95.451194
TMW_3347|#3347 Philips Hwy|TMW|TMW_S|TMW_S2|TMW_S203|Brick & Mortar|Open|KMS35|Kimberly M Binkley|Jacksonville|FL|30.182496|-81.556765
TMW_3316|#3316Wells Road and State Road 21|TMW|TMW_S|TMW_S2|TMW_S203|Brick & Mortar|Open|SM451|Selena Morales|Orange Park|FL|30.187307|-81.738409
TMW_1406|#1406 Lake Charles, La|TMW|TMW_S|TMW_S4|TMW_S403|Brick & Mortar|Open|DC341|Dominique Celestine|Lake Charles|LA|30.198516|-93.229038
TMW_3344|#3344 Panama City Beach, Fl|TMW|TMW_S|TMW_S4|TMW_S405|Brick & Mortar|Open|OMM3|Olga Mykolayivna Beckwith|Panama City Beach|FL|30.223774|-85.869579
JAB_0436|#0436Marsh Landing|JAB|JAB_S|JAB_S2|JAB_S203|Brick & Mortar|Open|AB652|Austin Basye|Jacksonville Beach|FL|30.255228|-81.396938
JAB_0932|#0932St. John's Town Center|JAB|JAB_S|JAB_S2|JAB_S203|Brick & Mortar|Open|WEB12|William Edwin Binkley III|Jacksonville|FL|30.257411|-81.527411
TMW_1222|#1222Barton Creek Square|TMW|TMW_S|TMW_S5|TMW_S501|Brick & Mortar|Open|RMG34|Reynaldo Martinez Garcia|Austin|TX|30.257464|-97.805756
TMW_3307|#3307St. John's Town Center|TMW|TMW_S|TMW_S2|TMW_S203|Brick & Mortar|Open|SU6|Shannon Marie Harvey|Jacksonville|FL|30.259864|-81.52744
JAB_0766|#0766Koppel Building|JAB|JAB_S|JAB_S5|JAB_S501|Brick & Mortar|Open|DL199|David Robert Lake|Austin|TX|30.266054|-97.744246
KNG_0311|#0311Capital Plaza|KNG|KNG_R02|KNG_R02|KNG_R02_A|Brick & Mortar|Open|DN82|Donita Nowlin|Austin|TX|30.314822|-97.704878
KNG_0106|#0106Regency Court|KNG|KNG_R01|KNG_R01|KNG_R01_A|Brick & Mortar|Open|VDR2|Vasco D Robinson|Jacksonville|FL|30.321113|-81.555959
TMW_1124|#1124Conroe Marketplace|TMW|TMW_S|TMW_S5|TMW_S506|Brick & Mortar|Open|CM551|Chase Lee Moore|Conroe|TX|30.348713|-95.482684
TMW_1209|#1209Gateway Square Shopping Center|TMW|TMW_S|TMW_S5|TMW_S501|Brick & Mortar|Open|DPW1|Dana P Ware|Austin|TX|30.386742|-97.742151
TMW_3342|#3342Shoppes At Paradise Key|TMW|TMW_S|TMW_S4|TMW_S405|Brick & Mortar|Open|MTH23|Michael Terrence Hilvar|Destin|FL|30.390295|-86.427291
TMW_1414|#1414Edgewater Mall|TMW|TMW_S|TMW_S4|TMW_S403|Brick & Mortar|Open|CAS102|Chris Anthony Scott|Biloxi|MS|30.390995|-88.988839
JAB_0067|#0067The Aboretum|JAB|JAB_S|JAB_S5|JAB_S501|Brick & Mortar|Open|DBJ7|Dillon Brooks Johnson|Austin|TX|30.391747|-97.748766
TMW_1403|#1403Bluebonnet Parc Shopping Center|TMW|TMW_S|TMW_S4|TMW_S403|Brick & Mortar|Open|KAC9|Keith A Chargois|Baton Rouge|LA|30.39183|-91.084161
KNG_0314|#0314Hammond Aire Plaza|KNG|KNG_R08|KNG_R08|KNG_R08_A|Brick & Mortar|Open|TM281|Tamera Mccray|Baton Rouge|LA|30.433483|-91.085979
TMW_3311|#3311Governor's Square Marketplace|TMW|TMW_S|TMW_S2|TMW_S203|Brick & Mortar|Open|HKM8|Margie K Huff|Tallahassee|FL|30.439528|-84.256763
TMW_1409|#1409 Covington La|TMW|TMW_S|TMW_S4|TMW_S403|Brick & Mortar|Open|CG224|Carlton Gray|Covington|LA|30.444632|-90.139634
TMW_1223|#1223Lakeline Mall|TMW|TMW_S|TMW_S5|TMW_S501|Brick & Mortar|Open|KT163|Kiarash Teymourian|Cedar Park|TX|30.470611|-97.806409
TMW_1431|#1431Cordova Mall|TMW|TMW_S|TMW_S4|TMW_S405|Brick & Mortar|Open|JLM103|Julie Lynne Miller|Pensacola|FL|30.474901|-87.209034
TMW_3308|#3308River City Marketplace|TMW|TMW_S|TMW_S2|TMW_S203|Brick & Mortar|Open|DJL29|David John Laye|Jacksonville|FL|30.475363|-81.64206
TMW_1212|#1212 Round Rock, Tx|TMW|TMW_S|TMW_S5|TMW_S501|Brick & Mortar|Open|SAB1|Steve A Berry|Round Rock|TX|30.480809|-97.683479
JAB_0799|#0799Market Plaza|JAB|JAB_S|JAB_S2|JAB_S203|Brick & Mortar|Open|RCA21|Robert Croft Alexander|Tallahassee|FL|30.505765|-84.254452
TMW_1257|#1257 College Station, Tx|TMW|TMW_S|TMW_S5|TMW_S501|Brick & Mortar|Open|AMV37|Ally Michelle Vivero|College Station|TX|30.612006|-96.315767
TMW_3405|#3405Eastern Shore Centre|TMW|TMW_S|TMW_S4|TMW_S405|Brick & Mortar|Open|SB35|Sheena Beckham|Spanish Fort|AL|30.668185|-87.850426
TMW_1421|#1421Bel Air Mall|TMW|TMW_S|TMW_S4|TMW_S405|Brick & Mortar|Open|ADE13|Albert D Even|Mobile|AL|30.675858|-88.122229
JAB_0630|#0630Legacy Village at Spring Hill|JAB|JAB_S|JAB_S4|JAB_S405|Brick & Mortar|Open|GLC9|Lee Lee Cooper|Mobile|AL|30.689785|-88.131072
TMW_1210|#1210Bird Creek Crossing|TMW|TMW_S|TMW_S5|TMW_S501|Brick & Mortar|Open|CLB102|Chrissy Lee Bensyl|Temple|TX|31.092531|-97.38555
TMW_3408|#3408 Dothan, Al|TMW|TMW_S|TMW_S4|TMW_S405|Brick & Mortar|Open|LPB8|Leslie P Beach|Dothan|AL|31.254799|-85.431836
TMW_1413|#1413Turtle Creek Crossing|TMW|TMW_S|TMW_S4|TMW_S405|Brick & Mortar|Open|---|---|Hattiesburg|MS|31.323665|-89.380265
TMW_1256|#1256 Waco, Tx|TMW|TMW_S|TMW_S5|TMW_S501|Brick & Mortar|Open|RWB10|Robert William Bell|Waco|TX|31.499495|-97.159139
TMW_3121|#3121Albany Mall|TMW|TMW_S|TMW_S2|TMW_S203|Brick & Mortar|Open|PMP17|Patricia M Phillips|Albany|GA|31.617|-84.217
